community_id,size,dominant_tx_type,community_id_comm,avg_amount,recommendation
0,1,p2p,0.0,1071.6775,"Сообщество #0: 1 клиентов, средняя транзакция $1071.68, тип: p2p
Рекомендация: Запустить социальные фичи для группы. Лидер: client_100
Предложить: групповые переводы, совместные цели накопления."
51539607648,1,deposit,51539607648.0,3025.5,"Сообщество #51539607648: 1 клиентов, средняя транзакция $3025.50, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_793
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607646,1,deposit,51539607646.0,3075.846666666667,"Сообщество #51539607646: 1 клиентов, средняя транзакция $3075.85, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_785
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607645,1,deposit,51539607645.0,3472.5066666666667,"Сообщество #51539607645: 1 клиентов, средняя транзакция $3472.51, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_778
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607644,1,deposit,51539607644.0,1130.895,"Сообщество #51539607644: 1 клиентов, средняя транзакция $1130.89, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_770
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607643,1,p2p,51539607643.0,1008.44,"Сообщество #51539607643: 1 клиентов, средняя транзакция $1008.44, тип: p2p
Рекомендация: Запустить социальные фичи для группы. Лидер: client_767
Предложить: групповые переводы, совместные цели накопления."
51539607642,1,deposit,51539607642.0,4072.01,"Сообщество #51539607642: 1 клиентов, средняя транзакция $4072.01, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_749
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607641,1,deposit,51539607641.0,2175.35,"Сообщество #51539607641: 1 клиентов, средняя транзакция $2175.35, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_741
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607640,1,deposit,51539607640.0,1028.72,"Сообщество #51539607640: 1 клиентов, средняя транзакция $1028.72, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_734
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607639,1,p2p,51539607639.0,1305.25,"Сообщество #51539607639: 1 клиентов, средняя транзакция $1305.25, тип: p2p
Рекомендация: Запустить социальные фичи для группы. Лидер: client_727
Предложить: групповые переводы, совместные цели накопления."
51539607638,1,deposit,51539607638.0,1177.5749999999998,"Сообщество #51539607638: 1 клиентов, средняя транзакция $1177.57, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_715
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607637,1,deposit,51539607637.0,2725.625,"Сообщество #51539607637: 1 клиентов, средняя транзакция $2725.62, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_713
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607636,1,p2p,51539607636.0,803.89,"Сообщество #51539607636: 1 клиентов, средняя транзакция $803.89, тип: p2p
Рекомендация: Запустить социальные фичи для группы. Лидер: client_707
Предложить: групповые переводы, совместные цели накопления."
51539607635,1,deposit,51539607635.0,1725.3999999999999,"Сообщество #51539607635: 1 клиентов, средняя транзакция $1725.40, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_701
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607634,1,p2p,51539607634.0,850.55,"Сообщество #51539607634: 1 клиентов, средняя транзакция $850.55, тип: p2p
Рекомендация: Запустить социальные фичи для группы. Лидер: client_7
Предложить: групповые переводы, совместные цели накопления."
51539607633,1,,,,"Сообщество #51539607633: 1 клиентов, средняя транзакция $0.00, тип: unknown
Рекомендация: Провести дополнительный анализ. Лидер: client_699
Предложить: базовые программы лояльности."
51539607632,1,deposit,51539607632.0,4450.5,"Сообщество #51539607632: 1 клиентов, средняя транзакция $4450.50, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_697
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607647,1,deposit,51539607647.0,1132.1599999999999,"Сообщество #51539607647: 1 клиентов, средняя транзакция $1132.16, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_790
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607649,1,deposit,51539607649.0,7654.32,"Сообщество #51539607649: 1 клиентов, средняя транзакция $7654.32, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_795
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607630,1,p2p,51539607630.0,900.7,"Сообщество #51539607630: 1 клиентов, средняя транзакция $900.70, тип: p2p
Рекомендация: Запустить социальные фичи для группы. Лидер: client_667
Предложить: групповые переводы, совместные цели накопления."
51539607650,1,deposit,51539607650.0,895.5796153846154,"Сообщество #51539607650: 1 клиентов, средняя транзакция $895.58, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_804
Предложить: накопительные счета, инвестиции с защитой капитала."
60129542144,1,p2p,60129542144.0,1268.6,"Сообщество #60129542144: 1 клиентов, средняя транзакция $1268.60, тип: p2p
Рекомендация: Запустить социальные фичи для группы. Лидер: client_1
Предложить: групповые переводы, совместные цели накопления."
51539607664,1,deposit,51539607664.0,2225.35,"Сообщество #51539607664: 1 клиентов, средняя транзакция $2225.35, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_997
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607663,1,p2p,51539607663.0,560.25,"Сообщество #51539607663: 1 клиентов, средняя транзакция $560.25, тип: p2p
Рекомендация: Запустить социальные фичи для группы. Лидер: client_99
Предложить: групповые переводы, совместные цели накопления."
51539607662,1,deposit,51539607662.0,1143.4499999999998,"Сообщество #51539607662: 1 клиентов, средняя транзакция $1143.45, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_986
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607661,1,deposit,51539607661.0,2175.6499999999996,"Сообщество #51539607661: 1 клиентов, средняя транзакция $2175.65, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_977
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607660,1,p2p,51539607660.0,922.57,"Сообщество #51539607660: 1 клиентов, средняя транзакция $922.57, тип: p2p
Рекомендация: Запустить социальные фичи для группы. Лидер: client_955
Предложить: групповые переводы, совместные цели накопления."
51539607659,1,deposit,51539607659.0,2309.11,"Сообщество #51539607659: 1 клиентов, средняя транзакция $2309.11, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_941
Предложить: накопительные счета, инвестиции с защитой капитала."
51539607658,1,deposit,51539607658.0,1250.94,"Сообщество #51539607658: 1 клиентов, средняя транзакция $1250.94, тип: deposit
Рекомендация: Предложить инвестиционные продукты. Лидер: client_939
Предложить: накопительные счета, инвестиции с защитой капитала."
